CALCULADORA DE COSTOS LABORALES CHOFERES 2025
PARÁMETROS GENERALES,,,,,,
UMA 2025,$108.57,,,,
Factor Integración,1.0877,,,,
Días Promedio Mes,30.4,,,,
,,,,,
CUOTAS IMSS 2025,PATRON,TRABAJADOR,TOTAL,,
Riesgos de Trabajo,0.54135%,0.00%,0.54135%,,
Enfermedades y Maternidad,20.40%,0.40%,1.50%,,
Invalidez y Vida,1.75%,0.625%,2.375%,,
Guarderías,1.00%,0.00%,1.00%,,
Retiro,2.00%,0.00%,2.00%,,
Cesantía y Vejez (hasta 1 UMA),3.150%,1.125%,4.275%,,
Cesantía y Vejez (1.01-4 UMA),3.281%,1.125%,4.406%,,
Cesantía y Vejez (4.01-7 UMA),3.575%,1.125%,4.700%,,
Cesantía y Vejez (7.01-10 UMA),4.130%,1.125%,5.255%,,
Cesantía y Vejez (10.01-15 UMA),4.816%,1.125%,5.941%,,
Cesantía y Vejez (>15 UMA),6.422%,1.125%,7.547%,,
INFONAVIT,5.00%,0.00%,5.00%,,
,,,,,
CALCULADORA DE ESCENARIOS,,,,,,
,,,,,
PERFIL,SALARIO DIARIO,DÍAS TRABAJADOS,SBC,CESANTÍA VEJEZ,IMSS MENSUAL
Perfil A (Local),$400,365,$435.08,4.406%,$2210.66
Perfil B (Regional),$550,365,$598.24,4.406%,$3037.16
Perfil C (Nacional),$700,365,$761.39,4.700%,$3865.01
,,,,,
MODALIDADES CONTRACTUALES,,,,,,
,,,,,
MODALIDAD,PERFIL A,PERFIL B,PERFIL C,,
Indefinido Continuo,$181527.92,$249570.92,$317630.12,,
Indefinido Discontinuo (6 meses),$91976.29,$126342.25,$160708.20,,
Por Temporada (Equiv. Anual),$183952.58,$252684.50,$321416.40,,
Determinado (con provisiones),$196049.33,$269695.40,$342920.53,,
,,,,,
ANÁLISIS COMPARATIVO,,,,,,
,,,,,
vs INDEFINIDO CONTINUO,AHORRO PERFIL A,AHORRO PERFIL B,AHORRO PERFIL C,AHORRO %,
Indefinido Discontinuo,$89551.63,$123228.67,$156921.92,49.3%,
Por Temporada,-$2424.66,-$3113.58,-$3786.28,-1.4%,
Determinado,-$14521.41,-$20124.48,-$25290.41,-8.0%,
,,,,,
SIMULADOR DE DÍAS TRABAJADOS,,,,,,
,,,,,
DÍAS,COSTO INDEFINIDO,COSTO DISCONTINUO,AHORRO,AHORRO %,
365,$249570.92,$249570.92,$0.00,0.0%,
300,$249570.92,$205707.04,$43863.88,17.6%,
250,$249570.92,$171422.53,$78148.39,31.3%,
200,$249570.92,$137138.02,$112432.90,45.1%,
150,$249570.92,$102853.52,$146717.40,58.8%,
120,$249570.92,$82282.81,$167288.11,67.0%,
90,$249570.92,$61712.11,$187858.81,75.3%,
60,$249570.92,$41141.40,$208429.52,83.5%,
,,,,,
IMPACTO CONVENIO CANACAR,,,,,,
,,,,,
CONCEPTO,SIN CONVENIO,CON CONVENIO,INCREMENTO,,
SBC Diario,$598.24,$1511.00,152.5%,,
IMSS Mensual,$3037.16,$6653.85,119.1%,,
Costo Anual,$249570.92,$329216.44,$79645.52,,
,,,,,
COSTOS ADICIONALES,,,,,,
,,,,,
CONCEPTO,COSTO UNITARIO,FRECUENCIA,ANUAL,,
Licencia Federal,$2500.00,Una vez,$2500.00,,
Examen Médico,$800.00,Anual,$800.00,,
Capacitación Inicial,$3000.00,Una vez,$3000.00,,
Certificación,$1200.00,Anual,$1200.00,,
Reclutamiento,$2000.00,Por rotación,$2000.00,,
Selección,$1500.00,Por rotación,$1500.00,,
Inducción,$2500.00,Por rotación,$2500.00,,
Pérdida Productividad,$5000.00,Por rotación,$5000.00,,
,,,,,
PROVISIONES PASIVOS LABORALES,,,,,,
,,,,,
MODALIDAD,% PROVISIÓN,PERFIL A,PERFIL B,PERFIL C,
Indefinido Continuo,5.0%,$9076.40,$12478.55,$15881.51,
Indefinido Discontinuo,2.0%,$3630.56,$4991.42,$6352.60,
Por Temporada,3.0%,$5514.84,$7577.13,$9646.92,
Determinado,8.0%,$14522.23,$19965.67,$25410.41,
,,,,,
ANÁLISIS SENSIBILIDAD,,,,,,
,,,,,
INCREMENTO SALARIAL,PERFIL A BASE,+10%,+20%,+30%,
Costo Base,$181527.92,$199680.71,$217833.50,$235986.29,
Incremento Costo,$0.00,$18152.79,$36305.58,$54458.37,
,,,,,
INCREMENTO CUOTAS IMSS,BASE,+0.5%,+1.0%,+1.5%,
Costo Perfil B,$249570.92,$253241.42,$256911.92,$260582.42,
Incremento Costo,$0.00,$3670.50,$7341.00,$11011.50,
,,,,,
PROYECCIÓN QUINQUENAL,2025,2026,2027,2028,2029
Indefinido (10 choferes),$2495709.20,$2695366.00,$2910996.00,$3143875.00,$3395385.00
Discontinuo (10 choferes),$1263422.50,$1364496.00,$1473656.00,$1591548.00,$1718872.00
Ahorro Anual,$1232286.70,$1330870.00,$1437340.00,$1552327.00,$1676513.00
Ahorro Acumulado,$1232286.70,$2563156.70,$4000496.70,$5552823.70,$7229336.70
,,,,,
RECOMENDACIONES POR OPERACIÓN,,,,,,
,,,,,
DÍAS OPERACIÓN,MODALIDAD RECOMENDADA,AHORRO ESTIMADO,RAZÓN PRINCIPAL,,
300+ días,Indefinido Continuo,0%,Costo/día óptimo,,
200-299 días,Indefinido Discontinuo,25-40%,Balance costo-flexibilidad,,
120-199 días,Indefinido Discontinuo,45-60%,Ahorro significativo,,
60-119 días,Por Temporada,65-75%,Máxima flexibilidad,,
<60 días,Determinado,70-80%,Operación esporádica,,
