CALCULADORA DE PRESTACIONES LABORALES - CHOFERES 2025

DATOS BASE,,,,,
Salario Minimo 2025,$207.44,por dia,,
UMA 2025,$108.57,por dia,,
Doble Salario Minimo,$414.88,tope prima antiguedad,,

TABLA VACACIONES POR ANTIGUEDAD,,,,,
Año,Dias Vacaciones,Prima 25%,,,
1,6,1.5,,,
2,8,2,,,
3,10,2.5,,,
4,12,3,,,
5,14,3.5,,,
6,14,3.5,,,
7,14,3.5,,,
8,14,3.5,,,
9,14,3.5,,,
10,16,4,,,
11,16,4,,,
12,16,4,,,
13,16,4,,,
14,16,4,,,
15,18,4.5,,,
20,20,5,,,

CALCULADORA INDEFINIDO PERMANENTE,,,,,
Concepto,Valor,Formula,Ejemplo,Resultado,
Salario Diario,$500,,,$500,
Años Antiguedad,3,,3 años,3,
Dias Vacaciones,10,=BUSCARV(AÑOS;TABLA_VACACIONES),3 años = 10 dias,10,
Prima Vacacional,$125,=DIAS_VACACIONES*SALARIO*0.25,10*500*0.25,$1250,
Aguinaldo,$7500,=SALARIO*15,500*15,$7500,
Prima Antiguedad,$18000,=AÑOS*12*SALARIO (min 15 años),3*12*500,$18000,

CALCULADORA INDEFINIDO DISCONTINUO,,,,,
Concepto,Valor,Formula,Ejemplo,Resultado,
Salario Diario,$500,,,$500,
Dias Trabajados Año,180,,6 meses,$180,
Años Antiguedad,3,,,3,
Vacaciones Proporcionales,4.93,=(DIAS_TRABAJADOS*DIAS_VACACIONES)/365,(180*10)/365,4.93,
Prima Vacacional Proporcional,$616.25,=VACACIONES_PROP*SALARIO*0.25,4.93*500*0.25,$616.25,
Aguinaldo Proporcional,$3698.63,=(DIAS_TRABAJADOS*15*SALARIO)/365,(180*15*500)/365,$3698.63,
Prima Antiguedad,NO APLICA,Limitada a trabajadores planta,,NO APLICA,

CALCULADORA TIEMPO DETERMINADO,,,,,
Concepto,Valor,Formula,Ejemplo,Resultado,
Salario Diario,$500,,,$500,
Meses Trabajados,8,,,8,
Dias Trabajados,240,,8 meses,240,
Vacaciones Proporcionales,6.58,=(DIAS_TRABAJADOS*6)/365,(240*6)/365,6.58,
Prima Vacacional,$821.92,=VACACIONES_PROP*SALARIO*0.25,6.58*500*0.25,$821.92,
Aguinaldo Proporcional,$4931.51,=(DIAS_TRABAJADOS*15*SALARIO)/365,(240*15*500)/365,$4931.51,
Prima Antiguedad,NO APLICA,No genera antiguedad,,NO APLICA,

FACTORES DE CALCULO,,,,,
Concepto,Factor,Aplicacion,,,
Vacaciones Minimas,6 dias,Primer año,,,
Aguinaldo Minimo,15 dias,Por año completo,,,
Prima Vacacional Minima,25%,Sobre dias vacaciones,,,
Prima Antiguedad,12 dias,Por año (15+ años),,,
Proporcionalidad,/365,Base anual,,,

CALENDARIO PAGOS 2025,,,,,
Prestacion,Fecha Limite,Observaciones,,,
Aguinaldo,20-Dic-2025,Antes de esta fecha,,,
Vacaciones,Al cumplir aniversario,Dentro año siguiente,,,
Prima Vacacional,Con vacaciones,Junto con periodo,,,
Prima Antiguedad,Al termino,En liquidacion,,,
Utilidades,60 dias post-declaracion,Segun declaracion anual,,,

CONTROL DISCONTINUOS,,,,,
Periodo,Dias Trabajados,Aguinaldo Generado,Vacaciones Generadas,Prima Vacacional,
Enero 2025,25,$513.70,$0.68,$85.62,
Febrero 2025,23,$472.60,$0.63,$78.77,
Marzo 2025,27,$555.48,$0.74,$92.74,
Abril 2025,22,$452.05,$0.60,$75.34,
Mayo 2025,26,$534.25,$0.71,$89.04,
Junio 2025,24,$493.15,$0.66,$82.19,
TOTAL 6 MESES,147,$3021.23,$4.02,$503.70,

VERIFICACION CALCULOS,,,,,
Metodo Directo,=(147*15*500)/365,,$3019.18,,Diferencia minima por redondeos
Metodo Acumulativo,=SUMA(ENERO:JUNIO),$3021.23,,$503.70,,

REFERENCIAS LEGALES,,,,,
Articulo LFT,Contenido,Aplicacion,,,
Art. 76,Vacaciones minimas,6 dias primer año,,,
Art. 80,Prima vacacional,25% minimo,,,
Art. 87,Aguinaldo,15 dias minimo,,,
Art. 162,Prima antiguedad,12 dias por año,,,
Art. 256-264,Sector transporte,Disposiciones especiales,,,

CASOS ESPECIALES TRANSPORTE,,,,,
Modalidad Salario,Base Calculo,Prestaciones,,,
Por dia,Salario fijo,Prestaciones normales,,,
Por viaje,Promedio ingresos,Sobre promedio diario,,,
Por kilometro,Promedio mensual,Proporcional,,,
Mixto,Parte fija + variable,Sobre salario integrado,,,

FACTORES RIESGO,,,,,
Situacion,Impacto Prestaciones,Solucion,,,
Salario variable,Dificil calculo,Promedio ultimos 6 meses,,,
Faltas frecuentes,Reduce proporcional,Control estricto asistencia,,,
Rotacion alta,Prima antiguedad baja,Mejores condiciones,,,
Temporadas irregulares,Calculo complejo,Sistema automatizado,,,

VALIDACIONES,,,,,
Concepto,Minimo Legal,Maximo Sugerido,,,
Vacaciones,6 dias,30 dias,,,
Prima Vacacional,25%,50%,,,
Aguinaldo,15 dias,60 dias,,,
Prima Antiguedad,12 dias por año,Sin limite,,,

NOTAS IMPORTANTES,,,,,
1,Todos los calculos son sobre salario ordinario,,,
2,Prima antiguedad tiene tope doble salario minimo,,,
3,Trabajadores discontinuos requieren control diario,,,
4,Contratos temporales max 1 año,,,
5,Renovacion automatica = indefinido,,,
